title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1661481,"Action, Adventure, Drama"
Inception,2010,148,8.8,74,2067042,"Action, Adventure, Sci-Fi"
Schindler's List,1993,195,8.9,94,1213505,"Biography, Drama, History"
Pulp Fiction,1994,154,8.9,94,1826188,"Crime, Drama"
The Lord of the Rings: The Return of the King,2003,201,8.9,94,1642758,"Action, Adventure, Drama"
12 Angry Men,1957,96,9.0,96,689845,"Crime, Drama"
The Godfather: Part II,1974,202,9.0,90,1129952,"Crime, Drama"
The Dark Knight,2008,152,9.0,84,2303232,"Action, Crime, Drama"
The Godfather,1972,175,9.2,100,1620367,"Crime, Drama"
The Shawshank Redemption,1994,142,9.3,80,2343110,Drama
