title,release_year,runtime_minutes,imdb_rating,Meta_score,No_of_Votes,Genre
The Girl with the Dragon Tattoo,2011,158,7.8,71,423010,"Crime, Drama, Mystery"
Drive,2011,100,7.8,78,571571,"Crime, Drama"
Vicky Donor,2012,126,7.8,,39710,"Comedy, Romance"
English Vinglish,2012,134,7.8,,33618,"Comedy, Drama, Family"
Moonrise Kingdom,2012,94,7.8,84,318789,"Comedy, Drama, Romance"
The Hobbit: An Unexpected Journey,2012,169,7.8,58,757377,"Adventure, Fantasy"
La grande bellezza,2013,141,7.8,86,81125,Drama
The Lunchbox,2013,104,7.8,76,50523,"Drama, Romance"
About Time,2013,123,7.8,55,303032,"Comedy, Drama, Fantasy"
La migliore offerta,2013,131,7.8,49,108399,"Crime, Drama, Mystery"
Le passé,2013,130,7.8,85,45002,"Drama, Mystery"
The Hobbit: The Desolation of Smaug,2013,161,7.8,66,601408,"Adventure, Fantasy"
Kaze tachinu,2013,126,7.8,83,73690,"Animation, Biography, Drama"
Captain Phillips,2013,134,7.8,82,421244,"Adventure, Biography, Crime"
Pride,2014,119,7.8,79,51841,"Biography, Comedy, Drama"
How to Train Your Dragon 2,2014,102,7.8,76,305611,"Animation, Action, Adventure"
Big Hero 6,2014,102,7.8,74,410983,"Animation, Action, Adventure"
The Big Short,2015,130,7.8,81,362942,"Biography, Comedy, Drama"
Under sandet,2015,100,7.8,75,35539,"Drama, History, War"
The Hateful Eight,2015,168,7.8,68,517059,"Crime, Drama, Mystery"
Straight Outta Compton,2015,147,7.8,72,179264,"Biography, Drama, History"
Manchester by the Sea,2016,137,7.8,96,246963,Drama
Rogue One,2016,133,7.8,65,556608,"Action, Adventure, Sci-Fi"
Forushande,2016,124,7.8,85,51240,Drama
Kubo and the Two Strings,2016,101,7.8,84,118035,"Animation, Action, Adventure"
Hidden Figures,2016,127,7.8,74,200876,"Biography, Drama, History"
M.S. Dhoni: The Untold Story,2016,184,7.8,,40416,"Biography, Drama, Sport"
Captain America: Civil War,2016,147,7.8,75,663649,"Action, Adventure, Sci-Fi"
Udta Punjab,2016,148,7.8,,27175,"Action, Crime, Drama"
Perfetti sconosciuti,2016,96,7.8,,57168,"Comedy, Drama"
Dunkirk,2017,106,7.8,94,555092,"Action, Drama, History"
Paddington 2,2017,103,7.8,88,61594,"Adventure, Comedy, Family"
Loving Vincent,2017,94,7.8,62,50778,"Animation, Biography, Crime"
Raazi,2018,138,7.8,,25344,"Action, Drama, Thriller"
Toy Story 4,2019,100,7.8,84,203177,"Animation, Adventure, Comedy"
Sound of Metal,2019,120,7.8,81,27187,"Drama, Music"
Little Women,2019,135,7.8,91,143250,"Drama, Romance"
The Gentlemen,2019,113,7.8,51,237392,"Action, Comedy, Crime"
The Trial of the Chicago 7,2020,129,7.8,77,89896,"Drama, History, Thriller"
Druk,2020,117,7.8,81,33931,"Comedy, Drama"
Nosferatu,1922,94,7.9,,88794,"Fantasy, Horror"
Freaks,1932,64,7.9,80,42117,"Drama, Horror"
King Kong,1933,100,7.9,90,78991,"Adventure, Horror, Sci-Fi"
A Night at the Opera,1935,96,7.9,,30580,"Comedy, Music, Musical"
The Adventures of Robin Hood,1938,102,7.9,97,47175,"Action, Adventure, Romance"
The Philadelphia Story,1940,112,7.9,96,63550,"Comedy, Romance"
His Girl Friday,1940,92,7.9,,53667,"Comedy, Drama, Romance"
The Lost Weekend,1945,101,7.9,,33549,"Drama, Film-Noir"
Notorious,1946,102,7.9,100,92306,"Drama, Film-Noir, Romance"
The Big Sleep,1946,114,7.9,,78796,"Crime, Film-Noir, Mystery"
Miracle on 34th Street,1947,96,7.9,88,41625,"Comedy, Drama, Family"
Harvey,1950,104,7.9,,52573,"Comedy, Drama, Fantasy"
Strangers on a Train,1951,101,7.9,88,123341,"Crime, Film-Noir, Thriller"
High Noon,1952,85,7.9,89,97222,"Drama, Thriller, Western"
East of Eden,1955,118,7.9,72,40313,Drama
The Ten Commandments,1956,220,7.9,,63560,"Adventure, Drama"
The Searchers,1956,119,7.9,94,80316,"Adventure, Drama, Western"
Hiroshima mon amour,1959,90,7.9,,28421,"Drama, Romance"
Spartacus,1960,197,7.9,87,124339,"Adventure, Biography, Drama"
L'avventura,1960,144,7.9,,26542,"Drama, Mystery"
The Manchurian Candidate,1962,126,7.9,94,71122,"Drama, Thriller"
Charade,1963,113,7.9,83,68689,"Comedy, Mystery, Romance"
In the Heat of the Night,1967,110,7.9,75,67804,"Crime, Drama, Mystery"
The Lion in Winter,1968,134,7.9,,29003,"Biography, Drama, History"
Night of the Living Dead,1968,96,7.9,89,116557,"Horror, Thriller"
