movie_id,title,release_year,budget,revenue,profit,roi,tmdb_rating,imdb_rating,runtime_minutes,imdb_genre,tmdb_genres,certificate,industry_rating,popularity,original_language
3059,Intolerance,1916,385907,8394751,8008844,20.75330066570443,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}]",,,3.232447,en
1051,The French Connection,1971,1800000,41158757,39358757,21.86597611111111,7.4,7.7,104,"Action, Crime, Drama","[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",,,15.978136,en
14811,Fiddler on the Roof,1971,9000000,83304330,74304330,8.2560366666666667,7.4,8.0,181,"Drama, Family, Musical","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",,,7.623979,en
3080,Top Hat,1935,609000,3202000,2593000,4.2577996715927746,7.4,,,,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,,3.898498,en
3116,Midnight Cowboy,1969,3600000,44785053,41185053,11.4402925,7.4,7.8,113,Drama,"[{""id"": 18, ""name"": ""Drama""}]",,,21.119209,en
11113,My Fair Lady,1964,17000000,72070731,55070731,3.2394547647058825,7.4,7.8,170,"Drama, Family, Musical","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,,20.786616,en
15121,The Sound of Music,1965,8200000,286214286,278014286,33.904181219512196,7.4,8.0,172,"Biography, Drama, Family","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",,,37.960289,en
11697,The Man Who Shot Liberty Valance,1962,3200000,8000000,4800000,1.5,7.4,8.1,123,"Drama, Western","[{""id"": 37, ""name"": ""Western""}]",,,11.735287,en
948,Halloween,1978,300000,70000000,69700000,232.33333333333334,7.4,7.7,91,"Horror, Thriller","[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",,,30.301307,en
38985,Sorcerer,1977,22000000,12000000,-10000000,-0.45454545454545453,7.4,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 12, ""name"": ""Adventure""}]",,,9.088209,en
907,Doctor Zhivago,1965,11000000,111858363,100858363,9.1689420909090913,7.4,8.0,197,"Drama, Romance, War","[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 10752, ""name"": ""War""}]",,,12.854853,en
18900,In Cold Blood,1967,3500000,13007551,9507551,2.7164431428571429,7.4,,,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",,,7.821438,en
630,The Wizard of Oz,1939,2777000,33754967,30977967,11.15519157364062,7.4,8.0,102,"Adventure, Family, Fantasy","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,,67.417542,en
194662,Birdman,2014,18000000,103215094,85215094,4.7341718888888886,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",,,89.811154,en
433,Mary Poppins,1964,6000000,102272727,96272727,16.0454545,7.4,7.8,139,"Comedy, Family, Fantasy","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",,,59.961523,en
11901,High Plains Drifter,1973,5500000,15700000,10200000,1.8545454545454545,7.4,,,,"[{""id"": 37, ""name"": ""Western""}]",,,19.127239,en
28580,The Lost Weekend,1945,1250000,11000000,9750000,7.8,7.4,7.9,101,"Drama, Film-Noir","[{""id"": 18, ""name"": ""Drama""}]",,,6.903314,en
16161,Baby Boy,2001,16000000,29381649,13381649,0.8363530625,7.4,,,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",R,6.4,7.854989,en
9023,Spirit: Stallion of the Cimarron,2002,80000000,122563539,42563539,0.5320442375,7.4,,,,"[{""id"": 37, ""name"": ""Western""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",G,7.2,41.670544,en
14736,Love & Basketball,2000,20000000,27728118,7728118,0.3864059,7.4,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",PG-13,7.2,2.027393,en
9444,Anastasia,1997,53000000,139804348,86804348,1.6378178867924529,7.4,,,,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",G,7.2,45.565918,en
293863,The Age of Adaline,2015,25000000,65663276,40663276,1.62653104,7.4,,,,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",PG-13,7.2,82.052056,en
12837,The Secret Life of Bees,2008,11000000,38105395,27105395,2.4641268181818181,7.4,,,,"[{""id"": 12, ""name"": ""Adventure""}]",PG-13,7.3,7.645979,en
190859,American Sniper,2014,58800000,542307423,483507423,8.2229153571428579,7.4,,,,"[{""id"": 10752, ""name"": ""War""}, {""id"": 28, ""name"": ""Action""}]",R,7.3,87.53437,en
36095,Cure,1997,20000,99000,79000,3.95,7.4,,,,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",Not Rated,7.4,0.212443,ja
672,Harry Potter and the Chamber of Secrets,2002,100000000,876688482,776688482,7.76688482,7.4,,,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",PG,7.4,132.397737,en
71859,We Need to Talk About Kevin,2011,7000000,6038942,-961058,-0.137294,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",R,7.5,21.276864,en
138843,The Conjuring,2013,13000000,318000141,305000141,23.461549307692309,7.4,,,,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}]",R,7.5,49.975409,en
273895,Selma,2014,20000000,66787908,46787908,2.3393954,7.4,,,,"[{""id"": 36, ""name"": ""History""}, {""id"": 18, ""name"": ""Drama""}]",PG-13,7.5,29.023184,en
675,Harry Potter and the Order of the Phoenix,2007,150000000,938212738,788212738,5.254751586666667,7.4,,,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 9648, ""name"": ""Mystery""}]",PG-13,7.5,78.144395,en
101299,The Hunger Games: Catching Fire,2013,130000000,847423452,717423452,5.5186419384615384,7.4,,,,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",PG-13,7.5,76.310119,en
193756,Lone Survivor,2013,40000000,149295601,109295601,2.732390025,7.4,,,,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",R,7.5,37.084384,en
767,Harry Potter and the Half-Blood Prince,2009,250000000,933959197,683959197,2.735836788,7.4,7.6,153,"Action, Adventure, Family","[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10751, ""name"": ""Family""}]",PG,7.6,98.885637,en
205220,Philomena,2013,12000000,100129872,88129872,7.344156,7.4,7.6,98,"Biography, Comedy, Drama","[{""id"": 18, ""name"": ""Drama""}]",PG-13,7.6,29.019504,en
228150,Fury,2014,68000000,211817906,143817906,2.1149692058823528,7.4,,,,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",R,7.6,139.575085,en
79120,Weekend,2011,8000,469947,461947,57.743375,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",Not Rated,7.6,1.041254,en
4133,Blow,2001,53000000,83282296,30282296,0.5713640754716981,7.4,7.6,124,"Biography, Crime, Drama","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",R,7.6,28.350529,en
9428,The Royal Tenenbaums,2001,21000000,71441250,50441250,2.4019642857142856,7.4,7.6,110,"Comedy, Drama","[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",R,7.6,24.13081,en
2056,The Station Agent,2003,500000,8679814,8179814,16.359628,7.4,7.6,89,"Comedy, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 35, ""name"": ""Comedy""}]",R,7.6,11.578545,en
824,Moulin Rouge!,2001,52500000,179213434,126713434,2.4135892190476191,7.4,,,,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10402, ""name"": ""Music""}, {""id"": 10749, ""name"": ""Romance""}]",PG-13,7.6,57.374341,en
9571,Dazed and Confused,1993,6900000,7993039,1093039,0.15841144927536233,7.4,7.6,102,Comedy,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",R,7.6,26.181753,en
2292,Clerks,1994,27000,3151130,3124130,115.70851851851852,7.4,7.7,92,Comedy,"[{""id"": 35, ""name"": ""Comedy""}]",R,7.7,19.748658,en
9366,Donnie Brasco,1997,35000000,41954997,6954997,0.1987142,7.4,7.7,127,"Biography, Crime, Drama","[{""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",R,7.7,40.370442,en
59436,Midnight in Paris,2011,30000000,151119219,121119219,4.0373073,7.4,7.7,96,"Comedy, Fantasy, Romance","[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",PG-13,7.7,43.753585,en
38757,Tangled,2010,260000000,591794936,331794936,1.2761343692307692,7.4,7.7,100,"Animation, Adventure, Comedy","[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",PG,7.7,48.681969,en
129670,Nebraska,2013,12000000,17654912,5654912,0.47124266666666664,7.4,7.7,115,"Adventure, Comedy, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",R,7.7,29.223881,en
186,Lucky Number Slevin,2006,27000000,56308881,29308881,1.0855141111111111,7.4,7.7,110,"Action, Crime, Drama","[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 9648, ""name"": ""Mystery""}]",R,7.7,36.921445,en
